"Query,Intent"
"What do I need to do in order to use my card I just got?,Banking"
"What is the basis of your exchange rates?,Banking"
"i'd like to make a trip between atlanta and boston i wish to know the cheapest fare,Non-Banking"
"Enable verbal mode.,Non-Banking"
"Can I change my pin at ATMs? If so, what ones?,Banking"
"How do i receive a physical card?,Banking"
"Has my card been lost in delivery?,Banking"
"What's the problem? I thought you offered crypto top up. This doesn't appear to be working at all. My money has now vanished from my account.,Banking"
"Does it cost money to top up?,Banking"
"is there an airline that has a flight from philadelphia to san francisco with a stop in dallas,Non-Banking"
"As I double checked that I have the correct account details that i submitted , they're right for sure. Transfer is still pending so far.,Banking"
"How can I look at where my available cash is coming from?,Banking"
"My identity is unable to be verified.,Banking"
"Hi, need some guidance on this issue,Non-Banking"
"i need to fly from dallas to san francisco and be in san francisco by 4 pm,Non-Banking"
"Why was my card charged when topping off my balance but it's not showing up in my wallet balance?,Banking"
"i need a flight from logan to atlanta this afternoon,Non-Banking"
"how many flights does eastern airlines have from boston to atlanta,Non-Banking"
"Why is the cash transaction still showing as not completed?,Banking"
"Can you explain your range of support?,Non-Banking"
"Hi, are you a computer program?,Non-Banking"
"Which foreign currencies can I get transferred into my account?,Banking"
"Turn off speaking mode.,Non-Banking"
"flights from westchester county to st. paul,Non-Banking"
"how many different flight classes are there,Non-Banking"
"what kinds of planes are used by midway airlines,Non-Banking"
"Can you let me know where my refund money is? I requested a refund a few days back, but it's not showing up yet. Do you guys have the money yet? Maybe it's just not in my account. Let me know when it will become available, please.,Banking"
"what is the cost of round trip ticket first class between oakland and atlanta,Non-Banking"
"What kind of support do you provide?,Non-Banking"
"i need to fly from washington to san francisco but i'd like to stop over at dallas can you tell me a schedule of flights that will do that,Non-Banking"
"list all flights from memphis to seattle,Non-Banking"
"show me all flights from philadelphia to atlanta that leave after 5 pm on wednesday,Non-Banking"
"How would you like me to refer to you?,Non-Banking"
"What features are available?,Non-Banking"
"i need ground transportation in dallas please show me what's available,Non-Banking"
"How would my friend be able to send me money?,Banking"
"Would I be able to get an account for my child?,Banking"
"I want to open an account for my child.,Banking"
"Turn on text replies.,Non-Banking"
"Hi, what name are you feeling for this interaction?,Non-Banking"
"I could not transfer funds to a beneficiary; is there a problem with your software?,Banking"
"i need to get downtown from the denver airport,Non-Banking"
"When will I be able to see the refund,Banking"
"what is the flight number of the earliest flight between boston and washington dc,Non-Banking"
"Hey, just checking in,Non-Banking"
"Take me to the course description for Business Negotiation Skills.,Non-Banking"
"Show me the details for Corporate Finance and Investment.,Non-Banking"
"How can I tell where the money came from?,Banking"
"I can't log in,Banking"
"i want to fly dallas to san francisco on monday july eighth,Non-Banking"
"I want to add money to my international card, so are there any fees charged to do this?,Banking"
"please list all flights from dallas to pittsburgh on july fourth 1991,Non-Banking"
"Turn on audio responses for me. Are there any policies supporting educational opportunities for refugee children?,Non-Banking"
"show me the fares on all flights round trip from pittsburgh to oakland,Non-Banking"
"what currencies can i exchange between on your app?,Banking"
"all flights from miami to new york,Non-Banking"
"Answer me with your voice.,Non-Banking"
"are there any flights from denver to atlanta with stops in pittsburgh,Non-Banking"
"Can you please tell me why my card payments are not going through when I try to buy something online? When I put in my card payment it takes it but it comes back a while later.,Banking"
"How do I change my currency to another?,Banking"
"What’s happening?,Non-Banking"
"Can you talk to me? What kind of tasks are you good at?,Non-Banking"
"I'm due a refund and it is not on my statement.,Banking"
"Why is my cash withdrawal still pending?,Banking"
"Disable your voice responses. Display the landing page for Business Intelligence.,Non-Banking"
"what is the latest flight leaving pittsburgh returning to denver,Non-Banking"
"Can you help me find a good hotel?,Non-Banking"
"what flights leave pittsburgh after 5 pm on thursday and arrive in los angeles,Non-Banking"
"I am adding money, what currencies do you accept to do this?,Banking"
"please list the flights from dallas fort worth to boston on july twenty third,Non-Banking"
"i need a flight from boston to denver,Non-Banking"
"Hi, what name do you prefer for this conversation?,Non-Banking"
"Turn on your voice for replies. What's the best way to build a deck?,Non-Banking"
"what flights leave denver before noon on northwest airlines,Non-Banking"
"show me the cheapest flights round trip from new york to san jose arriving in san jose before 7 pm,Non-Banking"
"Why do I need top-up to be verified?,Banking"
"Can I top up using my apple watch?,Banking"
"what is the fare from boston to oakland on united airlines,Non-Banking"
"How can I top up my account with a cheque?,Banking"
"Enable your speaking responses.,Non-Banking"
"Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,Banking"
"list all flights from boston to atlanta after 6 o'clock pm on wednesday,Non-Banking"
"I need to stop a transaction that I made.,Banking"
"When I use my card, it says decline?,Banking"
"i need a flight from philadelphia to dallas that stops in atlanta,Non-Banking"
"Hi, are you a real person?,Non-Banking"
"please give me flights available from denver to philadelphia,Non-Banking"
"show me flights from dallas to atlanta,Non-Banking"
"please list the flights from new york to miami on a tuesday,Non-Banking"
"I think I was charged double for something I bought - how long should I wait before reporting this?,Banking"
"Am I charged more for using the ATM?,Banking"
"I tried to buy something and it was declined and my transfers keep getting declined, Why?,Banking"
"How to open a new savings bank account?,Banking"
"I made a payment that seems to be stuck. It's been a couple of days already. Can you tell me how long it will take?,Banking"
"afternoon flight from denver to san francisco,Non-Banking"
"Set a new PIN please.,Banking"
"Please tell me how to change my pin.,Banking"
"Can you give me info about what to do when my card expires?,Banking"
"The app reverted my recent payment,Banking"
"My transfer was declined. Why did this happen?,Banking"
"Could you introduce yourself?,Non-Banking"
"Where do i verify a top-up card?,Banking"
